sample,current_A,voltage_min_V,voltage_mean_V,voltage_max_V,voltage_spread_mV,temperature_min_C,temperature_mean_C,temperature_max_C,consistency_proxy_percent,soc_mean_percent,soc_min_percent,soc_max_percent
150,120.19995,3.2400002,3.2416251500000004,3.2430003,3.00009999999995,30.0,30.625,31.0,99.356667,9.50336568057537,8.978493511676788,10.15246957540512
151,112.0,3.2410002,3.2422502000000004,3.2430003,2.000099999999616,30.0,30.625,31.0,99.35333433333334,9.50336568057537,8.978493511676788,10.15246957540512
152,114.80005,3.2410002,3.242875175,3.2440002,2.9999999999996696,30.0,30.625,31.0,99.353334,9.50336568057537,8.978493511676788,10.15246957540512
153,115.6001,3.239,3.2405001250000005,3.242,3.0000000000001137,30.0,30.625,31.0,99.356668,9.50336568057537,8.978493511676788,10.15246957540512
154,125.0,3.242,3.2442501249999998,3.246,4.0000000000000036,30.0,30.625,31.0,99.35666799999998,9.50336568057537,8.978493511676788,10.15246957540512
155,129.69995,3.239,3.241125075,3.242,3.0000000000001137,30.0,30.625,31.0,99.36000100000001,9.50336568057537,8.978493511676788,10.15246957540512
156,119.30005,3.2400002,3.2412501,3.242,1.999800000000107,30.0,30.625,31.0,99.360001,9.50336568057537,8.978493511676788,10.15246957540512
157,119.6001,3.2380002,3.239500175,3.2410002,3.0000000000001137,30.0,30.625,31.0,99.36000066666666,9.50336568057537,8.978493511676788,10.15246957540512
158,122.30005,3.236,3.2377500500000003,3.239,2.9999999999996696,30.0,30.75,31.0,99.360002,9.50336568057537,8.978493511676788,10.15246957540512
159,117.19995,3.239,3.2400001250000003,3.2410002,2.0002000000003406,30.0,30.625,31.0,99.36000166666668,9.50336568057537,8.978493511676788,10.15246957540512
160,104.1001,3.2430003,3.2447501249999995,3.246,2.9997000000001606,30.0,30.625,31.0,99.36333499999999,9.50336568057537,8.978493511676788,10.15246957540512
161,106.90015,3.2440002,3.2450000999999995,3.246,1.999800000000107,30.0,30.625,31.0,99.36666799999999,9.50336568057537,8.978493511676788,10.15246957540512
162,99.40015,3.2440002,3.2457500999999995,3.2470002,3.0000000000001137,30.0,30.625,31.0,99.37333533333334,9.50336568057537,8.978493511676788,10.15246957540512
163,116.69995,3.239,3.240625100000001,3.242,3.0000000000001137,30.0,30.625,31.0,99.373335,9.50336568057537,8.978493511676788,10.15246957540512
164,116.19995,3.242,3.2436251374999996,3.2450001,3.00009999999995,30.0,30.625,31.0,99.370001,9.50336568057537,8.978493511676788,10.15246957540512
165,135.19995,3.2430003,3.2445001499999995,3.246,2.9997000000001606,30.0,30.625,31.0,99.37333366666667,9.50336568057537,8.978493511676788,10.15246957540512
166,112.1001,3.242,3.2431251375,3.2440002,2.0001999999998965,30.0,30.625,31.0,99.37333366666667,9.50336568057537,8.978493511676788,10.15246957540512
167,139.0,3.2380002,3.23925015,3.2400002,1.9999999999997797,30.0,30.625,31.0,99.370001,9.50336568057537,8.978493511676788,10.15246957540512
168,116.0,3.2410002,3.2422502000000004,3.2430003,2.000099999999616,30.0,30.625,31.0,99.36999999999999,9.50336568057537,8.978493511676788,10.15246957540512
169,115.19995,3.2400002,3.2412500750000004,3.242,1.999800000000107,30.0,30.625,31.0,99.366666,9.50336568057537,8.978493511676788,10.15246957540512
170,122.40015,3.2400002,3.2421252,3.2430003,3.00009999999995,30.0,30.5,31.0,99.366666,9.259958937764168,8.774980902671814,9.95284914970398
171,103.80005,3.2410002,3.2431251999999997,3.2440002,2.9999999999996696,30.0,30.625,31.0,99.36999933333335,9.259958937764168,8.774980902671814,9.95284914970398
172,115.30005,3.239,3.2401251250000005,3.2410002,2.0002000000003406,30.0,30.625,31.0,99.36999966666667,9.259958937764168,8.774980902671814,9.95284914970398
173,123.19995,3.236,3.2377501250000003,3.239,2.9999999999996696,30.0,30.625,31.0,99.36999833333334,9.259958937764168,8.774980902671814,9.95284914970398
174,116.19995,3.239,3.2408751000000007,3.242,3.0000000000001137,30.0,30.625,31.0,99.36666533333333,9.259958937764168,8.774980902671814,9.95284914970398
175,135.30005,3.233,3.234500075,3.236,3.0000000000001137,30.0,30.625,31.0,99.35999766666667,9.259958937764168,8.774980902671814,9.95284914970398
